node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
ARLNG1MV_7_N002,23.1619318627451,37.376586764705884,57.0374137254902,1607.0,1461.0,1102.0,505.0
ARLNG2MV_7_N001,23.1619318627451,37.376586764705884,57.0374137254902,1607.0,1461.0,1102.0,505.0
ARROWHE_7_GNODE1,14.654098921568629,22.028686397058824,27.865122671568628,1987.0,1985.0,1987.0,0.0
ASHLAN_2_N001,83.48871024509803,144.73008585784314,230.7177161519608,245.0,242.0,228.0,17.0
ASHTON_6_GNODE1,4.04898693627451,5.59535330882353,6.831252254901961,2117.0,2147.0,2154.0,37.0
ASTORIA1_7_N001,26.387434313725493,38.24667401960784,54.83225767156863,1132.0,1326.0,1149.0,17.0
ASTORIA2_7_N001,26.387434313725493,38.24667401960784,54.83225767156863,1132.0,1326.0,1149.0,17.0
ATHOS_7_CN1,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ATHOS_7_CN13,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ATHOS_7_CN5,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ATHOS_7_CN6,17.125341740196077,26.91726431372549,32.0969299754902,1922.0,1929.0,1954.0,32.0
ATLAS2_6_N019,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLAS2_6_N020,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLAS2_6_N021,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLAS2_6_N022,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLAS2_6_N023,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLAS2_6_N024,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLAS2_6_N025,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLAS2_6_N026,29.79407352941176,46.577166176470584,61.52785147058823,971.0,995.0,1064.0,93.0
ATLASC_6_N019,26.054326960784316,44.433633823529405,57.666753431372555,1206.0,1027.0,1096.0,110.0
ATLASC_6_N020,26.054326960784316,44.433633823529405,57.666753431372555,1206.0,1027.0,1096.0,110.0
ATLASC_6_N021,26.054326960784316,44.433633823529405,57.666753431372555,1206.0,1027.0,1096.0,110.0
ATLASC_6_N022,26.054326960784316,44.433633823529405,57.666753431372555,1206.0,1027.0,1096.0,110.0
ATLASC_6_N023,26.054326960784316,44.433633823529405,57.666753431372555,1206.0,1027.0,1096.0,110.0
ATLASC_6_N024,26.054326960784316,44.433633823529405,57.666753431372555,1206.0,1027.0,1096.0,110.0
ATWELL_1_N001,46.6601987745098,84.54251772058824,135.88864676470587,554.0,462.0,408.0,146.0
AVENAL_6_GN001,419.00765151960786,805.7725104656863,1094.118295759804,22.0,14.0,12.0,10.0
AVENAL_6_GN002,419.00765151960786,805.7725104656863,1094.118295759804,22.0,14.0,12.0,10.0
AVENAL_6_GN003,419.00765151960786,805.7725104656863,1094.118295759804,22.0,14.0,12.0,10.0
AVENGEN_7_N001,419.00765151960786,805.7725104656863,1094.118295759804,22.0,14.0,12.0,10.0
AVENGEN_7_N002,419.00765151960786,805.7725104656863,1094.118295759804,22.0,14.0,12.0,10.0
AVEP_7_ND001,26.387434313725493,38.24667401960784,54.83225767156863,1132.0,1326.0,1149.0,17.0
AVSOLAR_7_N008,26.387434313725493,38.24667401960784,54.83225767156863,1132.0,1326.0,1149.0,17.0
AZALEA_7_N001,57.52033656862746,107.67475078431373,179.20867696078435,396.0,334.0,323.0,73.0
AZALEA_7_N002,57.52033656862746,107.67475078431373,179.20867696078435,396.0,334.0,323.0,73.0
BALCH3TP_2_B1,113.90167725490195,199.09042044117646,335.2300140931373,146.0,139.0,129.0,17.0
BANGOR_6_N004,31.61894291666667,56.159136078431374,81.00591549019607,916.0,893.0,907.0,9.0
BARPKGEN_7_B1,26.294449999999998,41.44840193627451,51.110110318627456,1197.0,1108.0,1450.0,253.0
BARRE_2_N043,26.294449999999998,41.44840193627451,51.110110318627456,1197.0,1108.0,1450.0,253.0
BARRE_6_N010,26.294449999999998,41.44840193627451,51.110110318627456,1197.0,1108.0,1450.0,253.0
BARRE_6_N011,26.294449999999998,41.44840193627451,51.110110318627456,1197.0,1108.0,1450.0,253.0
BARTON_1_N001,101.84855892156864,184.5049805637255,310.60711720588233,210.0,170.0,164.0,46.0
BASELINE_GNODE1,5.2753082107843134,8.877506740196077,12.11000330882353,2073.0,2060.0,2060.0,13.0
BAYMDWS_1_N004,43.32407039215686,72.66446561274509,111.84379708333333,638.0,646.0,586.0,52.0
BCKSCRK_2_B1,34.3693293872549,58.92581208333334,89.55782139705883,806.0,821.0,818.0,12.0
BCKSCRK_2_N004,34.3693293872549,58.92581208333334,89.55782139705883,806.0,821.0,818.0,12.0
BCKSCRK_7_N002,34.3693293872549,58.92581208333334,89.55782139705883,806.0,821.0,818.0,12.0
BCRK1-2_1_N003,26.803337279411764,38.76609725490196,51.66251573529412,1069.0,1269.0,1302.0,233.0
BCRK1-2_1_N004,26.803337279411764,38.76609725490196,51.66251573529412,1069.0,1269.0,1302.0,233.0
BEARCRK_6_N001,24.14726490196078,43.294898333333336,63.005575563725486,1485.0,1064.0,1032.0,453.0
