physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:30580_ALTM MDW_230_30625_TESLA D _230_BR_1 _1,1.0,7601.82697,ALTMMDW,TESLAD,230.0,,700.0,voltage proxy 230 kV,0
ITC:WINDSTAR EXPORT TCOR,1.0,7480.58046,WINDSTAR,,,,,unknown,0
NOM:36851_NORTHERN_115_36852_SCOTT   _115_BR_2 _1,1.0,7418.34301,NORTHERN,SCOTT,115.0,,250.0,voltage proxy 115 kV,0
ITC:EPE_NET_ITC,2.0,7381.548239999998,EPE,,,,,unknown,0
NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_1 _1,1.0,7303.89241,MUSTANGS,GATES,230.0,,700.0,voltage proxy 230 kV,0
ITC:CAL-DRM_2 120,3.0,7203.8868600000005,CAL,DRM,,,,unknown,0
NOM:38610_DELTAPMP_230_30580_ALTM MDW_230_BR_1 _1,1.0,6194.90977,DELTAPMP,ALTMMDW,230.0,,700.0,voltage proxy 230 kV,0
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,1.0,6024.82693,DEVERS,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:24701_KRAMER  _230_24601_VICTOR  _230_BR_2 _1,1.0,5862.41317,KRAMER,VICTOR,230.0,,700.0,voltage proxy 230 kV,0
NOM:34375_ULTPWRJ _115_34377_AIRPROD _115_BR_1 _1,3.0,5713.7253200000005,ULTPWRJ,AIRPROD,115.0,,250.0,voltage proxy 115 kV,0
ITC:TEPC_BA_EXP_ITC,1.0,5435.5472,TEPC,,,,,unknown,0
NOM:34724_KRN OL J_115_34736_MAGUNDEN_115_BR_1 _1,2.0,5413.3367,KRNOLJ,MAGUNDEN,115.0,,250.0,voltage proxy 115 kV,0
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,1.0,5119.72533,WHISMAN,MNTAVSA,115.0,,250.0,voltage proxy 115 kV,0
ITC:LDWP_IPP_NORTH,2.0,4984.20811,LDWP,,,,,unknown,0
NOM:18999_VEAJAF  _138_18079_MERCURY _138_BR_1 _1,1.0,4625.0704000000005,VEAJAF,MERCURY,138.0,,,voltage 138 kV (no proxy),0
NOM:35122_NWARK EF_115_35602_ZNKER J2_115_BR_1 _1,1.0,4537.6732,NWARKEF,ZNKERJ2,115.0,,250.0,voltage proxy 115 kV,0
ITC:INTNEL,1.0,4502.19822,INTNEL,,,,,unknown,0
ITC:SRP_NET_ITC,2.0,4496.30385,SRP,,,,,unknown,0
NOM:34706_WESTPARK_115_34752_KERN PWR_115_BR_1 _1,1.0,4401.43727,WESTPARK,KERNPWR,115.0,,250.0,voltage proxy 115 kV,0
NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,1.0,4255.17702,VICTOR,ROADWAY,115.0,,250.0,voltage proxy 115 kV,0
ITC:TOTAL_WYOMING_EXPORT,1.0,4195.2633000000005,TOTAL,,,,,unknown,0
NOM:33020_MORAGA  _115_35101_SN LNDRO_115_BR_2 _1,1.0,4030.47938,MORAGA,SNLNDRO,115.0,,250.0,voltage proxy 115 kV,0
